Model ready
0 meta 8.261333465576172
1 meta 8.424895286560059
2 meta 8.661504745483398
3 meta 8.456151962280273
4 meta 8.316593170166016
5 meta 8.417484283447266
6 meta 8.42148208618164
7 meta 8.30150032043457
8 meta 7.941831111907959
9 meta 7.826703071594238
10 meta 7.495285511016846
11 meta 7.44119930267334
12 meta 7.126608848571777
13 meta 6.783053874969482
14 meta 6.7605109214782715
15 meta 6.259493827819824
16 meta 5.981360912322998
17 meta 5.920183181762695
18 meta 5.7943902015686035
19 meta 5.566530704498291
20 meta 5.506372928619385
21 meta 5.21535062789917
22 meta 5.224859714508057
23 meta 5.265627384185791
24 meta 4.902486801147461
25 meta 5.020049571990967
26 meta 4.767908573150635
27 meta 4.635671615600586
28 meta 4.6739182472229
29 meta 4.648757457733154
30 meta 4.394522666931152
31 meta 4.3511199951171875
32 meta 4.328552722930908
33 meta 4.290600776672363
34 meta 4.142455101013184
35 meta 4.203910827636719
36 meta 4.164554595947266
37 meta 4.141839981079102
38 meta 3.9931092262268066
39 meta 3.886164665222168
40 meta 3.9497320652008057
41 meta 3.866945266723633
42 meta 3.836447238922119
43 meta 3.687140941619873
44 meta 3.727766513824463
45 meta 3.608598232269287
46 meta 3.5247538089752197
47 meta 3.450820207595825
48 meta 3.2987234592437744
49 meta 3.159874677658081
50 meta 3.1271181106567383
51 meta 2.911306142807007
52 meta 3.1075427532196045
53 meta 2.8798418045043945
54 meta 2.6940674781799316
55 meta 2.758826732635498
56 meta 2.7246406078338623
57 meta 2.7251131534576416
58 meta 2.605441093444824
59 meta 2.600430488586426
60 meta 2.5703976154327393
61 meta 2.6134583950042725
62 meta 2.4954450130462646
63 meta 2.5619263648986816
64 meta 2.5639545917510986
65 meta 2.625494956970215
66 meta 2.550382137298584
67 meta 2.5012824535369873
68 meta 2.5472240447998047
69 meta 2.46284556388855
70 meta 2.408820390701294
71 meta 2.4184017181396484
72 meta 2.350318431854248
73 meta 2.4041895866394043
74 meta 2.27152943611145
75 meta 2.2802224159240723
76 meta 2.2834420204162598
77 meta 2.223071575164795
78 meta 2.2815651893615723
79 meta 2.325575351715088
80 meta 2.325963258743286
81 meta 2.3028438091278076
82 meta 2.5720314979553223
83 meta 2.429114818572998
84 meta 2.1166272163391113
85 meta 2.16058349609375
86 meta 2.280278444290161
87 meta 2.235718011856079
88 meta 2.3020477294921875
89 meta 2.3307881355285645
90 meta 2.3127872943878174
91 meta 2.2367300987243652
92 meta 2.244720458984375
93 meta 2.285355567932129
94 meta 2.2747151851654053
95 meta 2.106205701828003
96 meta 2.372225761413574
97 meta 2.2120275497436523
98 meta 2.231180429458618
99 meta 2.3524556159973145
100 meta 2.2749202251434326
101 meta 2.160921096801758
102 meta 2.1250722408294678
103 meta 2.3112289905548096
104 meta 2.2368054389953613
105 meta 2.1431899070739746
106 meta 2.0694739818573
107 meta 2.4098076820373535
108 meta 2.1296682357788086
109 meta 2.182553291320801
110 meta 2.153358221054077
111 meta 2.1108169555664062
112 meta 2.0925369262695312
113 meta 2.20082950592041
114 meta 2.1729683876037598
115 meta 2.1239020824432373
116 meta 2.1749110221862793
117 meta 2.180394172668457
118 meta 2.29729962348938
119 meta 2.5560967922210693
120 meta 2.050147771835327
121 meta 2.278627634048462
122 meta 2.5036072731018066
123 meta 2.168832778930664
124 meta 2.2683935165405273
125 meta 2.201275587081909
126 meta 2.07299542427063
127 meta 2.315538167953491
128 meta 2.205838680267334
129 meta 1.9875742197036743
130 meta 2.0853099822998047
131 meta 2.1949052810668945
132 meta 2.085689067840576
133 meta 2.042980670928955
134 meta 2.101806163787842
135 meta 2.094620704650879
136 meta 2.055504322052002
137 meta 1.9008837938308716
138 meta 1.9909416437149048
139 meta 2.1401095390319824
140 meta 2.0527615547180176
141 meta 2.3749380111694336
142 meta 2.135742664337158
143 meta 2.2310667037963867
144 meta 2.034391164779663
145 meta 1.9748293161392212
146 meta 1.8719030618667603
147 meta 1.9244146347045898
148 meta 2.007011651992798
149 meta 2.0605320930480957
150 meta 1.8857749700546265
151 meta 2.075211763381958
152 meta 1.9309046268463135
153 meta 1.992560625076294
154 meta 2.0914504528045654
155 meta 1.9440796375274658
156 meta 2.1443591117858887
157 meta 1.9942867755889893
158 meta 2.056788444519043
159 meta 1.9604741334915161
160 meta 1.9568355083465576
161 meta 2.100250244140625
162 meta 2.0336928367614746
163 meta 1.9380276203155518
164 meta 2.018632173538208
165 meta 1.960833191871643
166 meta 1.859837532043457
167 meta 1.9742571115493774
168 meta 1.9525340795516968
169 meta 1.8499360084533691
170 meta 1.906817078590393
171 meta 1.8644529581069946
172 meta 1.9159834384918213
173 meta 2.147479772567749
174 meta 1.8963172435760498
